Upah Minimum Provinsi,Pengeluaran,Upah_Rata_rata,Cluster
2297969.0,1055307.0,16408.0,1
2297969.0,1055307.0,16408.0,1
2494000.0,564444.0,17775.0,1
2494000.0,564444.0,17775.0,1
2494000.0,675145.0,17775.0,1
2494000.0,675145.0,17775.0,1
2494000.0,724978.0,17775.0,1
2494000.0,724978.0,17775.0,1
2494000.0,526845.0,17775.0,1
2494000.0,526845.0,17775.0,1
2494000.0,834520.0,17775.0,1
2494000.0,834520.0,17775.0,1
2494000.0,973020.0,17775.0,1
2494000.0,973020.0,17775.0,1
2494000.0,1091290.0,17775.0,1
2494000.0,1091290.0,17775.0,1
2494000.0,659524.5,17775.0,1
2494000.0,659524.5,17775.0,1
2494000.0,534662.0,17662.0,1
2494000.0,534662.0,17662.0,1
2494000.0,628472.0,17662.0,1
2494000.0,628472.0,17662.0,1
2494000.0,667606.0,17662.0,1
2494000.0,667606.0,17662.0,1
2494000.0,544917.0,17662.0,1
2494000.0,544917.0,17662.0,1
2494000.0,840152.0,17662.0,1
2494000.0,840152.0,17662.0,1
2494000.0,963313.0,17662.0,1
2494000.0,963313.0,17662.0,1
2494000.0,1079579.0,17662.0,1
2494000.0,1079579.0,17662.0,1
2494000.0,659524.5,17662.0,1
2494000.0,659524.5,17662.0,1
2516971.0,537213.0,16857.0,1
2516971.0,537213.0,16857.0,1
2516971.0,609855.0,16857.0,1
2516971.0,609855.0,16857.0,1
2516971.0,639073.0,16857.0,1
2516971.0,639073.0,16857.0,1
2516971.0,540494.0,16857.0,1
2516971.0,540494.0,16857.0,1
2516971.0,832754.0,16857.0,1
2516971.0,832754.0,16857.0,1
2516971.0,950309.0,16857.0,1
2516971.0,950309.0,16857.0,1
2516971.0,1077707.0,16857.0,1
2516971.0,1077707.0,16857.0,1
1600000.0,392046.0,14228.0,2
1600000.0,392046.0,14228.0,2
1600000.0,483956.0,14228.0,2
1600000.0,483956.0,14228.0,2
1600000.0,526737.0,14228.0,2
1600000.0,526737.0,14228.0,2
1600000.0,272081.0,14228.0,2
1600000.0,272081.0,14228.0,2
1600000.0,548390.0,14228.0,2
1600000.0,548390.0,14228.0,2
1600000.0,677002.0,14228.0,2
1600000.0,677002.0,14228.0,2
1600000.0,664127.0,14228.0,2
1600000.0,664127.0,14228.0,2
1600000.0,1032346.0,14228.0,2
1600000.0,1032346.0,14228.0,2
1600000.0,1203739.0,14228.0,2
1600000.0,1203739.0,14228.0,2
1784000.0,429913.0,21033.0,2
1784000.0,429913.0,21033.0,2
1784000.0,532389.0,21033.0,2
1784000.0,532389.0,21033.0,2
1784000.0,578602.0,21033.0,2
1784000.0,578602.0,21033.0,2
1784000.0,298101.0,21033.0,2
1784000.0,298101.0,21033.0,2
1784000.0,602867.0,21033.0,2
1784000.0,602867.0,21033.0,2
1784000.0,740307.0,21033.0,2
1784000.0,740307.0,21033.0,2
1784000.0,728014.0,21033.0,2
1784000.0,728014.0,21033.0,2
1784000.0,1135256.0,21033.0,2
1784000.0,1135256.0,21033.0,2
1784000.0,1318909.0,21033.0,2
1784000.0,1318909.0,21033.0,2
1931180.0,486515.0,19719.0,2
1931180.0,486515.0,19719.0,2
1931180.0,623084.0,19719.0,2
1931180.0,623084.0,19719.0,2
